FECHA 2019-01-11 12:29:17.952000 | PLC1: 0.0000 | BR20: 0.4870 | PLC2: 0.0000 | Mqtt: 0.0230 | TOTAL: 0.8330
FECHA 2019-01-11 12:29:18.886000 | PLC1: 0.0000 | BR20: 0.5420 | PLC2: 0.0000 | Mqtt: 0.0930 | TOTAL: 0.9570
FECHA 2019-01-11 12:29:19.952000 | PLC1: 0.0000 | BR20: 0.5540 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8720
FECHA 2019-01-11 12:29:20.926000 | PLC1: 0.0000 | BR20: 0.5360 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8980
FECHA 2019-01-11 12:29:21.925000 | PLC1: 0.0000 | BR20: 0.6040 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.9200
FECHA 2019-01-11 12:29:22.947000 | PLC1: 0.0000 | BR20: 0.5140 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8090
FECHA 2019-01-11 12:29:23.857000 | PLC1: 0.0000 | BR20: 0.4980 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.7990
FECHA 2019-01-11 12:29:24.758000 | PLC1: 0.0000 | BR20: 0.5410 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8690
FECHA 2019-01-11 12:29:25.729000 | PLC1: 0.0000 | BR20: 0.5440 | PLC2: 0.0000 | Mqtt: 0.0120 | TOTAL: 0.9010
FECHA 2019-01-11 12:29:26.732000 | PLC1: 0.0000 | BR20: 0.5560 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.9830
FECHA 2019-01-11 12:29:27.817000 | PLC1: 0.0000 | BR20: 0.4710 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.7790
FECHA 2019-01-11 12:29:28.698000 | PLC1: 0.0000 | BR20: 0.5230 | PLC2: 0.0000 | Mqtt: 0.0120 | TOTAL: 0.8420
FECHA 2019-01-11 12:29:29.642000 | PLC1: 0.0000 | BR20: 0.5350 | PLC2: 0.0000 | Mqtt: 0.0130 | TOTAL: 0.8220
FECHA 2019-01-11 12:29:30.565000 | PLC1: 0.0000 | BR20: 0.5080 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8290
